n,m,r,q
16,12,-7.447423517562711e-15,-1.2414070834866729e-14
16,13,2.4265709805146232e-14,-2.0177776763943277e-16
16,14,-4.234602066308169e-15,2.0554674655652236e-14
16,15,3.7774148661258358e-16,-1.9163420068768412e-15
16,16,-5.432559706409731e-15,1.2841144070786792e-14
17,0,2.386738642804677e-14,0.0
17,1,1.919327589361739e-13,1.4408451625632243e-14
17,2,-1.4657902926944396e-14,-5.625061848904056e-14
17,3,6.44770091552976e-14,-6.312428076420444e-14
17,4,-4.953816504540036e-16,2.651959765841935e-14
17,5,1.6908009272527985e-14,1.4636570328639296e-14
17,6,-6.322564418710396e-15,-5.352559828801279e-15
17,7,7.195409953670253e-15,4.407733005027583e-15
17,8,1.0578178007245038e-14,3.375032692849871e-14
17,9,-1.4254365807201466e-14,3.158951619109405e-15
17,10,4.045695760794026e-14,-1.3617216057153366e-14
17,11,3.5241230078890942e-15,3.744149701516627e-14
17,12,-7.032953375723656e-15,-1.1723192749634488e-14
17,13,2.2915254555616427e-14,-1.905482652784803e-16
17,14,-3.998934507599344e-15,1.9410748987950734e-14
17,15,3.5671910656858544e-16,-1.809692164615377e-15
17,16,-5.130222423354066e-15,1.2126498154404621e-14
17,17,1.972487141854321e-16,1.7165469260142554e-15
18,0,2.26107898439301e-14,0.0
18,1,1.8182767055599542e-13,1.3649859512928031e-14
18,2,-1.3886177425962533e-14,-5.328907365207774e-14
18,3,6.10823521951456e-14,-5.980084374598492e-14
18,4,-4.693002488865877e-16,2.5123364521197486e-14
18,5,1.6017817681583417e-14,1.3865967969910201e-14
18,6,-5.989687047517673e-15,-5.070752333144862e-15
18,7,6.816578044430449e-15,4.1756697980018085e-15
18,8,1.0021246380476634e-14,3.1973402351564913e-14
18,9,-1.3503886175253564e-14,2.9926356370084876e-15
18,10,3.8326934914121114e-14,-1.2900281790630999e-14
18,11,3.338581078232458e-15,3.54702356290354e-14
18,12,-6.6626746602543735e-15,-1.1105977119069212e-14
18,13,2.1708786864419452e-14,-1.8051606925315744e-16
18,14,-3.78839417644475e-15,1.8388790385699152e-14
18,15,3.3793816412419233e-16,-1.7144134880324174e-15
18,16,-4.860120793568159e-15,1.14880488543918e-14
18,17,1.8686374550802574e-16,1.6261722630737515e-15
18,18,6.707421332006416e-15,1.089222414340678e-14
19,0,2.1481404932433082e-14,0.0
19,1,1.7274557174228594e-13,1.2968063543642449e-14
19,2,-1.3192577628188876e-14,-5.0627341083435685e-14
19,3,5.803135364957895e-14,-5.6813855184873826e-14
19,4,-4.458592004441074e-16,2.386847917609766e-14
19,5,1.5217744719534868e-14,1.3173377612978401e-14
19,6,-5.6905085481044135e-15,-4.817473645645607e-15
19,7,6.476097218923671e-15,3.967099531425162e-15
19,8,9.520695778988348e-15,3.0376364900227293e-14
19,9,-1.282938141897683e-14,2.8431566688974746e-15
19,10,3.641254526675739e-14,-1.2255926431576192e-14
19,11,3.171822503163158e-15,3.369853507354019e-14
19,12,-6.3298811451474776e-15,-1.0551245370541857e-14
19,13,2.0624456042682954e-14,-1.714994835299481e-16
19,14,-3.5991679153891925e-15,1.747028985804663e-14
19,15,3.2105851214320137e-16,-1.628780357176948e-15
19,16,-4.617362927514121e-15,1.0914233028927672e-14
19,17,1.7753010010513253e-16,1.544946687581373e-15
19,18,6.372392768222968e-15,1.0348169128738218e-14
19,19,-1.1505659249653545e-14,1.9003499900004275e-14
20,0,2.0460842066033406e-14,0.0
20,1,1.6453857986211426e-13,1.2351962122744656e-14
20,2,-1.2565809738389609e-14,-4.822208013812874e-14
20,3,5.527433450637343e-14,-5.4114678334892835e-14
20,4,-4.2467681758567085e-16,2.2734508488371317e-14
20,5,1.449476290247231e-14,1.254752189920392e-14
20,6,-5.420157435903322e-15,-4.588599662399666e-15
20,7,6.168423472182419e-15,3.778626082792791e-15
20,8,9.068375802483763e-15,2.893321022152318e-14
20,9,-1.2219868665212883e-14,2.7080807681935857e-15
20,10,3.4682616908382514e-14,-1.1673658025541529e-14
20,11,3.021131974507287e-15,3.2097546979125696e-14
20,12,-6.029153996910191e-15,-1.0049964879190547e-14
20,13,1.9644606072764318e-14,-1.6335169221704708e-16
20,14,-3.4281745778520606e-15,1.6640291580445997e-14
20,15,3.0580530144932483e-16,-1.551398418924564e-15
20,16,-4.397996030454392e-15,1.0395707309609422e-14
20,17,1.6909579944344884e-16,1.4715476140630402e-15
20,18,6.069645929744858e-15,9.85653661302373e-15
20,19,-1.0959035384939945e-14,1.8100660146711768e-14
20,20,-4.1906952811570685e-17,-1.1903274451061273e-14
21,0,1.9534081862397437e-14,0.0
21,1,1.570859145569982e-13,1.1792488231336147e-14
